,dataid,year_house_constructed,house_num_rooms,house_square_feet,house_ceiling_height,sex_males,sex_females,residents_under_5,residents_6_to_12,residents_13_to_18,residents_19_to_24,residents_25_to_34,residents_35_to_49,residents_50_to_64,residents_older_65,education_level,total_annual_income,ceiling_fans_count
152,9912,2011,2.0,0.713,12,None,1,,,,,,,,1.0,Some college/trade/vocational school,$20-000 - $34-999,2.0
153,4000,2011,3.0,740.0,12,1,None,,,,,,,,1.0,College graduate,$35-000 - $49-999,2.0
154,3299,2011,5.0,975.0,9,1,None,,,,,,,1.0,,Postgraduate degree,$35-000 - $49-999,2.0
155,1310,2011,2.0,752.0,12,None,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,College graduate,$10-000 - $19-999,2.0
156,7549,2011,4.0,719.0,9ft,,1,,,,,,,,1.0,Some college/trade/vocational school,$10-000 - $19-999,2.0
157,645,2011,3.0,700.0,8 ft,,1,,,,,,,1.0,,College graduate,$35-000 - $49-999,2.0
158,3443,2012,4.0,650.0,"9 0""",1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Some college/trade/vocational school,$20-000 - $34-999,2.0
159,8031,1949,5.0,1058.0,8,1,2,1.0,,,,1.0,1.0,,,Postgraduate degree,$100-000 - $149-999,4.0
160,7090,1977,4.0,2600.0,9,1,4,2.0,,,0.0,,2.0,,,Postgraduate degree,$75-000 - $99-999,6.0
161,3301,2008,11.0,2310.0,10,2,None,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Postgraduate degree,$100-000 - $149-999,6.0
162,6266,2008,4.0,2300.0,10,2,None,,,,,,2.0,,,Postgraduate degree,$150-000 - $299-000,6.0
163,3578,1989,8.0,1400.0,12,1,1,,,,,,,,,,,3.0
164,1169,2008,6.0,1430.0,10,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Postgraduate degree,$50-000 - $74-999,2.0
165,2814,2009,7.0,1860.0,10 ft.- living room vaulted to 2nd floor,1,1,,,,,,,2.0,,College graduate,$100-000 - $149-999,4.0
166,3036,2011,5.0,2300.0,10,1,2,1.0,,,,,2.0,,,Postgraduate degree,$100-000 - $149-999,2.0
167,3036,2011,5.0,2260.0,10,1,2,1.0,,,,,2.0,,,Postgraduate degree,$150-000 - $299-000,2.0
168,6685,2011,4.0,1500.0,10ft downstairs / 9 ft upstairs,1,1,,,,,1.0,1.0,,,Some college/trade/vocational school,$100-000 - $149-999,4.0
169,4297,2009,8.0,1439.0,10,None,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,Postgraduate degree,$75-000 - $99-999,5.0
170,7597,2008,3.0,1803.0,21,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Postgraduate degree,$150-000 - $299-000,5.0
171,2378,1947,7.0,1600.0,8,1,1,,,,,2.0,,,,College graduate,$75-000 - $99-999,3.0
172,3577,2008,9.0,2100.0,,None,1,,,,,,,1.0,,College graduate,$100-000 - $149-999,5.0
173,364,2008,10.0,2200.0,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,College graduate,$150-000 - $299-000,5.0
174,6063,2008,6.0,1840.0,10,,,,,,,,1.0,,,,,4.0
175,4732,2009,6.0,1500.0,10,1,1,,1.0,,,,1.0,,,Postgraduate degree,$75-000 - $99-999,4.0
176,2156,1985,7.0,1780.0,7.5,1,1,,,,,,,,,Postgraduate degree,$150-000 - $299-000,5.0
177,4767,2008,10.0,2500.0,10,1,1,,,,,,,2.0,,Postgraduate degree,$150-000 - $299-000,6.0
178,3736,1968,6.0,1800.0,8,1,1,,,,,,,,2.0,Postgraduate degree,$75-000 - $99-999,2.0
179,3736,1969,5.0,1800.0,8,1,1,,,,,,,,2.0,Postgraduate degree,$75-000 - $99-999,3.0
180,9176,1973,10.0,2681.0,8,2,1,1.0,,,,2.0,,,,College graduate,,4.0
181,2470,2009,3.0,1550.0,10,1,,,,,,0.0,1.0,,,College graduate,$50-000 - $74-999,4.0
182,7390,1967,3.0,2100.0,8,1,1,,,,,,2.0,,,Postgraduate degree,$100-000 - $149-999,5.0
183,4314,1972,8.0,2556.0,8,1,1,,,,,,,,2.0,College graduate,$75-000 - $99-999,3.0
184,2129,2008,7.0,2042.0,12-Oct,1,1,,,,,,,1.0,,College graduate,$100-000 - $149-999,6.0
185,3224,2008,10.0,2000.0,9,,1,,,,,,2.0,,,Postgraduate degree,$100-000 - $149-999,5.0
186,4998,2009,4.0,2600.0,12,1,1,,,,,,,2.0,,Postgraduate degree,$150-000 - $299-000,6.0
187,9729,2007,11.0,2222.0,9,3,1,1.0,1.0,,,,2.0,,,Postgraduate degree,$150-000 - $299-000,3.0
188,1114,2008,5.0,2200.0,10,,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,College graduate,$150-000 - $299-000,5.0
189,1697,2010,8.0,2085.0,10,1,3,2.0,,,,,1.0,1.0,,College graduate,$300-000 - $1-000-000,5.0
190,4894,2010,10.0,1980.0,10,2,1,1.0,,,,2.0,,,,Postgraduate degree,$50-000 - $74-999,5.0
191,7982,2008,3.0,1720.0,9,1,1,,,,,1.0,2.0,,,Postgraduate degree,more than $1-000-000,5.0
192,7982,,,,,,,,,,,,,,,,,
193,6103,2008,3.0,1147.0,10,,1,,,,,,,1.0,,College graduate,$35-000 - $49-999,2.0
194,6498,1930 or earlier,3.0,2600.0,9,1,1,,,,,,2.0,,,College graduate,$100-000 - $149-999,6.0
195,5785,2008,11.0,1900.0,10,1,1,,,,,,,,2.0,Postgraduate degree,$75-000 - $99-999,4.0
196,4031,2008,10.0,2050.0,10,1,2,,1.0,,,,2.0,,,Postgraduate degree,$75-000 - $99-999,5.0
197,4031,2008,8.0,2300.0,10,2,1,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,Postgraduate degree,$150-000 - $299-000,6.0
198,1463,2008,9.0,2100.0,9,None,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,College graduate,$100-000 - $149-999,4.0
199,9956,2008,4.0,1417.0,10,,1,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,College graduate,$35-000 - $49-999,5.0
200,6057,1985,4.0,2300.0,8,3,1,0.0,0.0,1.0,1.0,0.0,0.0,2.0,,Postgraduate degree,$100-000 - $149-999,6.0
201,8236,2009,3.0,1950.0,10,2,2,1.0,1.0,,,,2.0,,,Postgraduate degree,$100-000 - $149-999,3.0
202,5817,2008,10.0,1908.0,10,3,1,1.0,1.0,,,,2.0,,,Postgraduate degree,$100-000 - $149-999,5.0
203,6836,2008,5.0,1215.0,10,None,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,College graduate,$35-000 - $49-999,4.0
204,4228,2008,7.0,1200.0,10,2,1,,1.0,1.0,,,,1.0,,College graduate,$50-000 - $74-999,2.0
205,9134,2008,4.0,2200.0,10 ft,1,2,1.0,,,,,2.0,,,Postgraduate degree,$100-000 - $149-999,5.0
206,9982,2008,4.0,1400.0,10 ft,3,None,1.0,1.0,,,,2.0,,,Postgraduate degree,$50-000 - $74-999,3.0
207,4213,2012,3.0,1600.0,10,1,2,1.0,,,,1.0,1.0,,,Postgraduate degree,$100-000 - $149-999,2.0
208,825,1980,11.0,2800.0,8,2,1,,,1.0,,,,2.0,,Postgraduate degree,$300-000 - $1-000-000,6.0
209,5610,1978,10.0,2000.0,10,1,1,,,,,1.0,,1.0,,College graduate,$50-000 - $74-999,5.0
210,2986,2008,6.0,2310.0,Between 9 and 11 feet,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Postgraduate degree,,6.0
211,6418,1967,9.0,2300.0,96,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Postgraduate degree,$150-000 - $299-000,3.0
